	spacecraft	use_pitch_yaw	lazy_model	sleep	file_prefix	en.wiki	hud_name	symbol	show_in_nav_panel	parent	body_class	model_type	#epoch_text	epoch_jd	semi_major_axis	eccentricity	inclination	longitude_ascending_node	argument_periapsis	mean_anomaly_at_epoch	mean_motion	nodal_period	apsidal_period	reference_plane_type	orbit_right_ascention	orbit_declination	tidally_locked	axis_locked	#rotation_period	right_ascension	declination	gravitational_parameter	mean_radius	mean_density	magnitude	albedo
Type	BOOL	BOOL	BOOL	BOOL	STRING	STRING	STRING_NAME	STRING	BOOL	STRING_NAME	TABLE_ROW	TABLE_ROW	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	IVOrbit.ReferencePlane	FLOAT	FLOAT	BOOL	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
Default	TRUE	TRUE	TRUE	TRUE				\u25CC			SPACECRAFT	SPACECRAFT		2451545.0																0	0	0	0	0	0	0
Unit															km		deg	deg	deg	deg	deg/d	a	a		deg	deg			d	deg	deg	km^3/s^2	m	g/cm^3		
Prefix/SPACECRAFT_							SPACECRAFT_				BODY_CLASS_	MODEL_												REFERENCE_PLANE_												
INTERNATIONAL_SPACE_STATION					ISS	International_Space_Station	INTERNATIONAL_SPACE_STATION_HUD		x	PLANET_EARTH			2022-Nov-06 00:00:00.0000 TDB	2459889.5	6788.3	0.0015164	51.609	353.726	69.013	187.104	5.5881e3			EQUATORIAL			TRUE	TRUE	-365.256363				30			
HUBBLE_SPACE_TELESCOPE					Hubble	Hubble_Space_Telescope	HUBBLE_SPACE_TELESCOPE_HUD		x	PLANET_EARTH			2022-Nov-06 00:00:00.0000 TDB	2459889.5	6914.9	0.0016184	28.374	310.402	117.409	20.487	5.4353e3			EQUATORIAL			TRUE	TRUE	-365.256363				10			
JUNO_SPACECRAFT					Juno	Juno_(spacecraft)	JUNO_SPACECRAFT_HUD		x	PLANET_JUPITER			2022-Nov-06 00:00:00.0000 TDB	2459889.5	3.2743e6	0.97775	103.0134	279.5030	117.2533	351.5101	9.4044			EQUATORIAL			TRUE	TRUE	-4332.59				5			
# https://ssd.jpl.nasa.gov/horizons																																				
# https://www.heavens-above.com/																																				
# FIXME: Calculate epoch																																				
