	parent	epoch_jd	reference_plane_type	orbit_right_ascension	orbit_declination	eccentricity	inclination	longitude_ascending_node	argument_periapsis	semi_major_axis	semi_parameter	mean_anomaly_at_epoch	time_periapsis	mean_motion	orbit_gravitational_parameter	longitude_ascending_node_rate	argument_periapsis_rate	#nodal_period	#apsidal_period	real_planet_orbit	semi_major_axis_rate	eccentricity_rate	inclination_rate	mean_anomaly_correction_b	mean_anomaly_correction_c	mean_anomaly_correction_s	mean_anomaly_correction_f	validity_begin	validity_end	segment_begin	segment_end	fix_gaps
Type	STRING_NAME	FLOAT	IVOrbit.ReferencePlane	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL
Default		2451545.0	ECLIPTIC													0	0			FALSE				0	0	0	0			-INF	INF	FALSE
Unit				deg	deg		deg	deg	deg	km	km	deg		deg/d	km^3/s^2	deg/Cy	deg/Cy	a	a		au/Cy	1/Cy	deg/Cy	deg/Cy^2	deg	deg	deg/Cy			s	s	
Prefix/ORBIT_			REFERENCE_PLANE_																													
PLANET_MERCURY	STAR_SUN					0.20563661	7.00559432	48.33961819	29.11810076	57909100.8793		174.7939483		4.092338806		-0.12214182	0.28154195			x	0	0.00002123	-0.00590158					3000_BC	3000_AD			
PLANET_VENUS	STAR_SUN					0.00676399	3.39777545	76.67261496	55.09494214	108207284.425		50.2121514		1.602130475		-0.27274174	0.32953822			x	-0.00000026	-0.00005107	0.00043494					3000_BC	3000_AD			
PLANET_EARTH	STAR_SUN					0.01673163	-0.00054346	-5.11260389	108.04266279	149597897.628		357.5368568		0.9856091187		-0.24123856	0.55919116			x	-0.00000003	-0.00003661	-0.01337178					3000_BC	3000_AD			
PLANET_MARS	STAR_SUN					0.09336511	1.85181869	49.71320984	-73.63065768	227944135.087		19.34931622		0.5240328361		-0.26852431	0.72076056			x	0.00000097	0.00009149	-0.00724757					3000_BC	3000_AD			
PLANET_CERES	STAR_SUN					0.1161977	9.6474122	80.30888738	73.02369957	413951699.542		309.4940868		0.21408164																		
PLANET_JUPITER	STAR_SUN					0.0485359	1.29861416	100.2928265	-86.01787406	778279958.783		20.05983912		0.08309113533		0.13024619	0.05174577			x	-0.00002864	0.00018026	-0.00322699	-0.00012452	0.0606406	-0.35635438	38.35125	3000_BC	3000_AD			
PLANET_SATURN	STAR_SUN					0.05550825	2.49424102	113.639987	-20.77862637	1427387908.25		317.2143527		0.0334596837		-0.25015002	0.7919448			x	-0.00003065	-0.00032044	0.00451969	0.00025899	-0.13434469	0.87320147	38.35125	3000_BC	3000_AD			
PLANET_URANUS	STAR_SUN					0.0468574	0.77298127	73.96250215	98.47154225	2870480873.24		141.7687219		0.01173155718		0.05739699	0.03527286			x	-0.00020455	-0.0000155	-0.00180155	0.00058331	-0.97731848	0.17689245	7.67025	3000_BC	3000_AD			
